,date,time,open,high,low,close,tickvol,vol,spread,label,exit_index
291,10/01/2020,7:30:00 AM,1.1109,1.111,1.11079,1.11089,270,0,2,1,360.0
292,10/01/2020,8:00:00 AM,1.11089,1.111,1.11075,1.11083,221,0,3,1,360.0
293,10/01/2020,8:30:00 AM,1.11083,1.11091,1.11067,1.11091,270,0,2,1,360.0
294,10/01/2020,9:00:00 AM,1.11091,1.1111,1.11079,1.11089,498,0,1,1,360.0
295,10/01/2020,9:30:00 AM,1.11089,1.11089,1.11042,1.1107,602,0,1,1,360.0
296,10/01/2020,10:00:00 AM,1.11069,1.11091,1.11011,1.11015,931,0,1,1,339.0
297,10/01/2020,10:30:00 AM,1.11015,1.1102,1.10935,1.10994,887,0,1,1,335.0
298,10/01/2020,11:00:00 AM,1.10994,1.10994,1.10912,1.10944,962,0,1,1,314.0
299,10/01/2020,11:30:00 AM,1.10944,1.11001,1.10938,1.10964,885,0,1,1,314.0
300,10/01/2020,12:00:00 PM,1.10963,1.10984,1.10949,1.10972,634,0,1,1,314.0
301,10/01/2020,12:30:00 PM,1.10972,1.10972,1.109,1.10927,759,0,1,1,314.0
302,10/01/2020,1:00:00 PM,1.10923,1.10924,1.1085,1.1092,773,0,1,1,314.0
303,10/01/2020,1:30:00 PM,1.1092,1.10962,1.10914,1.10931,665,0,1,1,314.0
304,10/01/2020,2:00:00 PM,1.10929,1.10953,1.10917,1.10952,550,0,1,1,314.0
305,10/01/2020,2:30:00 PM,1.10952,1.10994,1.10947,1.10983,616,0,2,1,335.0
306,10/01/2020,3:00:00 PM,1.10983,1.10994,1.10898,1.10922,1113,0,1,1,314.0
307,10/01/2020,3:30:00 PM,1.10922,1.11136,1.10922,1.10966,3052,0,1,1,314.0
308,10/01/2020,4:00:00 PM,1.10966,1.10989,1.10861,1.10964,1669,0,1,1,314.0
309,10/01/2020,4:30:00 PM,1.10964,1.11033,1.10927,1.11006,1465,0,1,1,335.0
310,10/01/2020,5:00:00 PM,1.11006,1.11117,1.10981,1.11085,1490,0,1,1,360.0
311,10/01/2020,5:30:00 PM,1.11082,1.11178,1.11078,1.11128,1557,0,1,1,360.0
