time,open,high,low,close,bid,ask,signal,action,position,P/L,Total profit
2022-05-17 10:15:00+00:00,1.28257,1.2831,1.28235,1.28307,1.28257,1.28261,1.0,buy,1.0,0.0,0.26435999999999915
2022-05-17 10:30:00+00:00,1.2831,1.28328,1.28215,1.28232,1.2831,1.2831,0.0,hold,1.0,0.0004899999999998794,0.26435999999999915
2022-05-17 10:45:00+00:00,1.28231,1.28262,1.28201,1.28231,1.28231,1.28234,0.0,hold,1.0,-0.00029999999999996696,0.26435999999999915
2022-05-17 11:00:00+00:00,1.28231,1.28242,1.28094,1.281,1.28231,1.28235,0.0,hold,1.0,-0.00029999999999996696,0.26435999999999915
2022-05-17 11:15:00+00:00,1.28102,1.28152,1.28098,1.28136,1.28102,1.28103,0.0,close long,0.0,-0.001,0.26335999999999915
2022-05-17 11:30:00+00:00,1.28135,1.28194,1.28103,1.28104,1.28135,1.28139,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 11:45:00+00:00,1.28104,1.28148,1.28071,1.28109,1.28104,1.28109,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 12:00:00+00:00,1.2811,1.28176,1.28098,1.28149,1.2811,1.28112,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 12:15:00+00:00,1.28149,1.28196,1.28138,1.28147,1.28149,1.28151,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 12:30:00+00:00,1.28147,1.28196,1.28125,1.28192,1.28147,1.28149,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 12:45:00+00:00,1.28192,1.28236,1.28077,1.28089,1.28192,1.28194,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 13:00:00+00:00,1.2809,1.28161,1.28067,1.28136,1.2809,1.28095,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 13:15:00+00:00,1.28135,1.28155,1.28076,1.28134,1.28135,1.28138,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 13:30:00+00:00,1.28134,1.28201,1.28102,1.28181,1.28134,1.28134,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 13:45:00+00:00,1.28182,1.28182,1.28119,1.28151,1.28182,1.28185,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 14:00:00+00:00,1.28156,1.28212,1.28141,1.28207,1.28156,1.28156,0.0,hold,0.0,0.0,0.26335999999999915
2022-05-17 14:15:00+00:00,1.28208,1.28228,1.28179,1.28226,1.28208,1.28208,1.0,buy,1.0,0.0,0.26335999999999915
2022-05-17 14:30:00+00:00,1.28227,1.28258,1.28128,1.28137,1.28227,1.28229,0.0,hold,1.0,0.00018999999999991246,0.26335999999999915
2022-05-17 14:45:00+00:00,1.28137,1.28244,1.28122,1.2824,1.28137,1.28139,0.0,hold,1.0,-0.0007100000000002105,0.26335999999999915
2022-05-17 15:00:00+00:00,1.2824,1.28275,1.28209,1.28234,1.2824,1.28241,0.0,hold,1.0,0.00031999999999987594,0.26335999999999915
2022-05-17 15:15:00+00:00,1.28235,1.284,1.28228,1.2835,1.28235,1.28236,0.0,hold,1.0,0.00026999999999999247,0.26335999999999915
2022-05-17 15:30:00+00:00,1.28351,1.28411,1.28272,1.28318,1.28351,1.2836,0.0,hold,1.0,0.0014299999999998203,0.26335999999999915
2022-05-17 15:45:00+00:00,1.28319,1.28347,1.28221,1.28307,1.28319,1.28319,0.0,hold,1.0,0.0011099999999999444,0.26335999999999915
2022-05-17 16:00:00+00:00,1.28308,1.28453,1.28257,1.28444,1.28308,1.2831,0.0,hold,1.0,0.0009999999999998899,0.26335999999999915
2022-05-17 16:15:00+00:00,1.28444,1.28519,1.28407,1.28507,1.28444,1.2845,0.0,close long,0.0,0.002,0.26535999999999915
2022-05-17 16:30:00+00:00,1.28514,1.28517,1.28333,1.28339,1.28514,1.28516,0.0,hold,0.0,0.0,0.26535999999999915
2022-05-17 16:45:00+00:00,1.2834,1.28434,1.28252,1.28262,1.2834,1.28342,-1.0,short,-1.0,0.0,0.26535999999999915
